identifier,currency,isCurrency,level,conversionRatio,ratioUnit,allowedSwapCategories,h
String,String,Integer,Integer,Float,String,String,String
experience,experience,1,1,0.1,ruby,,
breedingToken,breedingToken,1,1,0.1666,ruby,,
goldBreedingToken,goldBreedingToken,1,1,0.1,ruby,,
dragonSlot,dragonSlot,1,1,0.001,ruby,,
trophy,trophy,1,1,10,ruby,,
weeklyTrophy,weeklyTrophy,1,1,10,ruby,,
redEggCurrency,redEggCurrency,1,1,0.025,ruby,research,
purpleEggCurrency,purpleEggCurrency,1,1,0.02,ruby,research,
blueEggCurrency,blueEggCurrency,1,1,0.004,ruby,research,
orangeEggCurrency,orangeEggCurrency,1,1,0.00167,ruby,research,
greenEggCurrency,greenEggCurrency,1,1,0.0005,ruby,research,
piercing_1,piercing,1,1,1.11,ruby,,
piercing_2,piercing,1,2,1.11,ruby,,
piercing_3,piercing,1,3,1.11,ruby,,
piercing_4,piercing,1,4,1.14,ruby,,
piercing_5,piercing,1,5,1.42,ruby,,
piercing_6,piercing,1,6,1.71,ruby,,
piercing_7,piercing,1,7,1.99,ruby,,
piercing_8,piercing,1,8,2.95,ruby,,
piercing_9,piercing,1,9,2.95,ruby,,
piercing_10,piercing,1,10,3.67,ruby,,
piercing_11,piercing,1,11,4.42,ruby,,
piercing_12,piercing,1,12,4.42,ruby,,
piercing_13,piercing,1,13,5.22,ruby,,
piercing_14,piercing,1,14,6.7,ruby,,
piercing_15,piercing,1,15,6.7,ruby,,
piercing_16,piercing,1,16,7.56,ruby,,
piercing_17,piercing,1,17,7.56,ruby,,
piercing_18,piercing,1,18,8.45,ruby,,
piercing_19,piercing,1,19,8.45,ruby,,
piercing_20,piercing,1,20,9.37,ruby,,
piercing_21,piercing,1,21,9.37,ruby,,
piercing_22,piercing,1,22,10.32,ruby,,
piercing_23,piercing,1,23,10.32,ruby,,
piercing_24,piercing,1,24,11.32,ruby,,
piercing_25,piercing,1,25,11.32,ruby,,
piercing_26,piercing,1,26,12.35,ruby,,
piercing_27,piercing,1,27,12.35,ruby,,
piercing_28,piercing,1,28,13.43,ruby,,
piercing_29,piercing,1,29,13.43,ruby,,
piercing_30,piercing,1,30,13.43,ruby,,
piercing_31,piercing,1,31,14.56,ruby,,
piercing_32,piercing,1,32,14.56,ruby,,
piercing_33,piercing,1,33,15.74,ruby,,
piercing_34,piercing,1,34,15.74,ruby,,
piercing_35,piercing,1,35,15.74,ruby,,
piercing_36,piercing,1,36,17.88,ruby,,
piercing_37,piercing,1,37,17.88,ruby,,
piercing_38,piercing,1,38,20.11,ruby,,
piercing_39,piercing,1,39,20.11,ruby,,
piercing_40,piercing,1,40,20.11,ruby,,
piercing_41,piercing,1,41,22.46,ruby,,
piercing_42,piercing,1,42,22.46,ruby,,
piercing_43,piercing,1,43,24.92,ruby,,
piercing_44,piercing,1,44,24.92,ruby,,
piercing_45,piercing,1,45,24.92,ruby,,
piercing_46,piercing,1,46,27.51,ruby,,
piercing_47,piercing,1,47,27.51,ruby,,
piercing_48,piercing,1,48,30.25,ruby,,
piercing_49,piercing,1,49,30.25,ruby,,
piercing_50,piercing,1,50,30.25,ruby,,
piercing_51,piercing,1,51,33.13,ruby,,
piercing_52,piercing,1,52,33.13,ruby,,
piercing_53,piercing,1,53,36.18,ruby,,
piercing_54,piercing,1,54,36.18,ruby,,
piercing_55,piercing,1,55,36.18,ruby,,
piercing_56,piercing,1,56,39.41,ruby,,
piercing_57,piercing,1,57,39.41,ruby,,
piercing_58,piercing,1,58,43.39,ruby,,
piercing_59,piercing,1,59,43.39,ruby,,
piercing_60,piercing,1,60,43.39,ruby,,
piercing_61,piercing,1,61,47.62,ruby,,
piercing_62,piercing,1,62,47.62,ruby,,
piercing_63,piercing,1,63,52.1,ruby,,
piercing_64,piercing,1,64,52.1,ruby,,
piercing_65,piercing,1,65,52.1,ruby,,
piercing_66,piercing,1,66,56.87,ruby,,
piercing_67,piercing,1,67,56.87,ruby,,
piercing_68,piercing,1,68,59.96,ruby,,
piercing_69,piercing,1,69,59.96,ruby,,
piercing_70,piercing,1,70,59.96,ruby,,
piercing_71,piercing,1,71,63.05,ruby,,
piercing_72,piercing,1,72,63.05,ruby,,
piercing_73,piercing,1,73,66.14,ruby,,
piercing_74,piercing,1,74,66.14,ruby,,
piercing_75,piercing,1,75,66.14,ruby,,
piercing_76,piercing,1,76,69.23,ruby,,
piercing_77,piercing,1,77,69.23,ruby,,
piercing_78,piercing,1,78,74.17,ruby,,
piercing_79,piercing,1,79,74.17,ruby,,
piercing_80,piercing,1,80,74.17,ruby,,
piercing_81,piercing,1,81,79.12,ruby,,
piercing_82,piercing,1,82,79.12,ruby,,
piercing_83,piercing,1,83,84.06,ruby,,
piercing_84,piercing,1,84,84.06,ruby,,
piercing_85,piercing,1,85,84.06,ruby,,
piercing_86,piercing,1,86,89.01,ruby,,
piercing_87,piercing,1,87,89.01,ruby,,
piercing_88,piercing,1,88,93.95,ruby,,
piercing_89,piercing,1,89,93.95,ruby,,
piercing_90,piercing,1,90,93.95,ruby,,
piercing_91,piercing,1,91,98.9,ruby,,
piercing_92,piercing,1,92,98.9,ruby,,
piercing_93,piercing,1,93,106.32,ruby,,
piercing_94,piercing,1,94,106.32,ruby,,
piercing_95,piercing,1,95,106.32,ruby,,
piercing_96,piercing,1,96,113.73,ruby,,
piercing_97,piercing,1,97,113.73,ruby,,
piercing_98,piercing,1,98,121.15,ruby,,
piercing_99,piercing,1,99,121.15,ruby,,
piercing_100,piercing,1,100,121.15,ruby,,
piercing_101,piercing,1,101,128.57,ruby,,
piercing_102,piercing,1,102,128.57,ruby,,
piercing_103,piercing,1,103,135.98,ruby,,
piercing_104,piercing,1,104,135.98,ruby,,
piercing_105,piercing,1,105,135.98,ruby,,
piercing_106,piercing,1,106,143.4,ruby,,
piercing_107,piercing,1,107,143.4,ruby,,
piercing_108,piercing,1,108,150.82,ruby,,
piercing_109,piercing,1,109,150.82,ruby,,
piercing_110,piercing,1,110,150.82,ruby,,
piercing_111,piercing,1,111,158.24,ruby,,
piercing_112,piercing,1,112,158.24,ruby,,
piercing_113,piercing,1,113,165.65,ruby,,
piercing_114,piercing,1,114,165.65,ruby,,
piercing_115,piercing,1,115,165.65,ruby,,
piercing_116,piercing,1,116,173.07,ruby,,
piercing_117,piercing,1,117,173.07,ruby,,
piercing_118,piercing,1,118,180.49,ruby,,
piercing_119,piercing,1,119,180.49,ruby,,
piercing_120,piercing,1,120,180.49,ruby,,
piercing_121,piercing,1,121,187.91,ruby,,
piercing_122,piercing,1,122,187.91,ruby,,
piercing_123,piercing,1,123,195.32,ruby,,
piercing_124,piercing,1,124,195.32,ruby,,
piercing_125,piercing,1,125,195.32,ruby,,
piercing_126,piercing,1,126,202.74,ruby,,
piercing_127,piercing,1,127,202.74,ruby,,
piercing_128,piercing,1,128,210.16,ruby,,
piercing_129,piercing,1,129,210.16,ruby,,
piercing_130,piercing,1,130,210.16,ruby,,
piercing_131,piercing,1,131,217.58,ruby,,
piercing_132,piercing,1,132,217.58,ruby,,
piercing_133,piercing,1,133,224.99,ruby,,
piercing_134,piercing,1,134,224.99,ruby,,
piercing_135,piercing,1,135,224.99,ruby,,
piercing_136,piercing,1,136,232.41,ruby,,
piercing_137,piercing,1,137,232.41,ruby,,
piercing_138,piercing,1,138,239.83,ruby,,
piercing_139,piercing,1,139,239.83,ruby,,
piercing_140,piercing,1,140,239.83,ruby,,
piercing_141,piercing,1,141,247.24,ruby,,
piercing_142,piercing,1,142,247.24,ruby,,
piercing_143,piercing,1,143,254.66,ruby,,
piercing_144,piercing,1,144,254.66,ruby,,
piercing_145,piercing,1,145,254.66,ruby,,
piercing_146,piercing,1,146,262.08,ruby,,
piercing_147,piercing,1,147,262.08,ruby,,
piercing_148,piercing,1,148,269.5,ruby,,
piercing_149,piercing,1,149,269.5,ruby,,
piercing_150,piercing,1,150,269.5,ruby,,
piercing_151,piercing,1,151,269.5,ruby,,
piercing_152,piercing,1,152,269.5,ruby,,
piercing_153,piercing,1,153,269.5,ruby,,
piercing_154,piercing,1,154,269.5,ruby,,
piercing_155,piercing,1,155,269.5,ruby,,
piercing_156,piercing,1,156,269.5,ruby,,
piercing_157,piercing,1,157,269.5,ruby,,
piercing_158,piercing,1,158,269.5,ruby,,
piercing_159,piercing,1,159,269.5,ruby,,
piercing_160,piercing,1,160,269.5,ruby,,
piercing_161,piercing,1,161,269.5,ruby,,
piercing_162,piercing,1,162,269.5,ruby,,
piercing_163,piercing,1,163,269.5,ruby,,
piercing_164,piercing,1,164,269.5,ruby,,
piercing_165,piercing,1,165,269.5,ruby,,
piercing_166,piercing,1,166,269.5,ruby,,
piercing_167,piercing,1,167,269.5,ruby,,
piercing_168,piercing,1,168,269.5,ruby,,
piercing_169,piercing,1,169,269.5,ruby,,
piercing_170,piercing,1,170,269.5,ruby,,
piercing_171,piercing,1,171,269.5,ruby,,
piercing_172,piercing,1,172,269.5,ruby,,
piercing_173,piercing,1,173,269.5,ruby,,
piercing_174,piercing,1,174,269.5,ruby,,
piercing_175,piercing,1,175,269.5,ruby,,
piercing_176,piercing,1,176,269.5,ruby,,
piercing_177,piercing,1,177,269.5,ruby,,
piercing_178,piercing,1,178,269.5,ruby,,
piercing_179,piercing,1,179,269.5,ruby,,
piercing_180,piercing,1,180,269.5,ruby,,
piercing_181,piercing,1,181,269.5,ruby,,
piercing_182,piercing,1,182,269.5,ruby,,
piercing_183,piercing,1,183,269.5,ruby,,
piercing_184,piercing,1,184,269.5,ruby,,
piercing_185,piercing,1,185,269.5,ruby,,
piercing_186,piercing,1,186,269.5,ruby,,
piercing_187,piercing,1,187,269.5,ruby,,
piercing_188,piercing,1,188,269.5,ruby,,
piercing_189,piercing,1,189,269.5,ruby,,
piercing_190,piercing,1,190,269.5,ruby,,
piercing_191,piercing,1,191,269.5,ruby,,
piercing_192,piercing,1,192,269.5,ruby,,
piercing_193,piercing,1,193,269.5,ruby,,
piercing_194,piercing,1,194,269.5,ruby,,
piercing_195,piercing,1,195,269.5,ruby,,
piercing_196,piercing,1,196,269.5,ruby,,
piercing_197,piercing,1,197,269.5,ruby,,
piercing_198,piercing,1,198,269.5,ruby,,
piercing_199,piercing,1,199,269.5,ruby,,
piercing_200,piercing,1,200,269.5,ruby,,
piercing_201,piercing,1,201,269.5,ruby,,
piercing_202,piercing,1,202,269.5,ruby,,
piercing_203,piercing,1,203,269.5,ruby,,
piercing_204,piercing,1,204,269.5,ruby,,
piercing_205,piercing,1,205,269.5,ruby,,
piercing_206,piercing,1,206,269.5,ruby,,
piercing_207,piercing,1,207,269.5,ruby,,
piercing_208,piercing,1,208,269.5,ruby,,
piercing_209,piercing,1,209,269.5,ruby,,
piercing_210,piercing,1,210,269.5,ruby,,
piercing_211,piercing,1,211,269.5,ruby,,
piercing_212,piercing,1,212,269.5,ruby,,
piercing_213,piercing,1,213,269.5,ruby,,
piercing_214,piercing,1,214,269.5,ruby,,
piercing_215,piercing,1,215,269.5,ruby,,
piercing_216,piercing,1,216,269.5,ruby,,
